idx,x_mm_from_box_left,y_mm_from_box_bottom,diameter_mm
0,9.911707758903502,13.944999843835827,0.10000000474974512
1,7.009173899888992,2.994929224252701,0.10000000474974512
2,7.016835331916809,6.461376667022705,0.10000000474974512
3,11.4223353266716,13.462318450212475,0.10000000474974512
4,15.945000171661373,7.892768055200577,0.10000000474974512
5,0.5099907219409948,13.490009278059002,1.0099815204739568
6,13.308075040578839,12.067470669746399,0.10000000474974512
7,4.618456557393074,10.941220790147781,0.2542110392823815
8,9.927487343549727,0.5413219034671789,1.0726433247327802
9,11.411322623491287,7.097101181745529,0.1390709541738033
